FW name,Country,Country2,Continent,Location,Ecosystem,Type ,Type2,S,L,C,Lat,Long,Year of Pub,Ref,Commments
Afon Hafren,Wales/UK,UK,Europe,Namesake stream,Stream,Freshwater,Aquatic,25,135,0.216,52.47,-3.7,2010,Layer et al 2010,From Cheddar package in R
Aire,UK,UK,Europe,"Rivers Aire, Nidd and Wharfe, near Leeds, Yorkshire",Stream,Freshwater,Aquatic,60,185,0.051388889,53.866888,-1.530785,1929,Percival & Witehead 1929,
Allt a'Mharcaidh,Scotland/UK,UK,Europe,Namesake stream,Stream,Freshwater,Aquatic,40,334,0.20875,57.12,-3.85,2010,Layer et al 2010,From Cheddar package in R
Alvarado,Mexico,Mexico,North America,"Laguna Alvarado, Veracruz","Lagoon, Estuarine",Fresh/Marine,Aquatic,30,229,0.254444444,18.78108,-95.8234,2007,Cruz-Escalona et al 2007,
Angola,Angola,Angola,Africa,"Fishery landings, Angola's coast",Marine,Marine,Aquatic,28,127,0.161989796,-11.25,11,2011,Angelini & Vaz-Velho 2011,"Approx, mid point from reported range"
Antarctica,Chile/Argentina/UK claimed region,Chile/Argentina/UK claimed region,Antarctica,"Northern tip, Antarctic Peninsula",Marine,Marine,Aquatic,28,218,0.278061224,-63.045733,-59.70119,2008,Cornejo-Donoso & Antezana 2008,"Approx, middle of the CCAMLR 48.1 region"
Bear,Norway,Norway,Europe/Arctic,Barents Sea bear island in the arctic,Island,Terrestrial,Terrestrial,31,43,0.044745057,74.451695,19.025885,2004,Hodkinson & Coulson 2004,"Approx, based on description in paper"
Benguela,South Africa,South Africa,Africa,offshore Cape Town,Marine,Marine,Aquatic,29,203,0.24137931,-33.92584,18.42322,1998,Yodzis (1998),
Bere Stream,England/UK,UK,Europe,Namesake stream,Stream,Freshwater,Aquatic,66,943,0.216483012,50.73,-2.21,2010,Layer et al 2010,From Cheddar package in R
Berwick,New Zealand,New Zealand,Oceania,unnamed tributary of Meggat Burn,Stream,Freshwater,Aquatic,77,240,0.040479002,-45.93,170.01,2003,Thompson & Townsend 2003,
